tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
99,5/31/2023,AKI,Rupiah,1,23-May,843,121209,OTHERS RECEIVABLE : Others Receivable - Semesta Kreatif Indonesia,4411217,0
99,5/31/2023,AKI,Rupiah,1,23-May,844,121210,OTHERS RECEIVABLE : Others Receivable - PT. Storikka Kreatif Indonesia,2591083,0
99,5/31/2023,AKI,Rupiah,1,23-May,845,121211,OTHERS RECEIVABLE : Others Receivable - PT. Langit Kreatif Indonesia,27751281,0
99,5/31/2023,AKI,Rupiah,1,23-May,847,121213,OTHERS RECEIVABLE : Others Receivable - TAKA,2294924,0
99,5/31/2023,AKI,Rupiah,1,23-May,848,121214,OTHERS RECEIVABLE : Others Receivable - Langit Muda Kreatif,2099848,0
99,5/31/2023,AKI,Rupiah,1,23-May,849,121215,OTHERS RECEIVABLE : Others Receivable - PT. Tumbuh Bersama Kami,234113155,0
99,5/31/2023,AKI,Rupiah,1,23-May,1489,121217,OTHERS RECEIVABLE : Others Receivable - Rovers,515000,0
99,5/31/2023,AKI,Rupiah,1,23-May,596,13120,Deposit Others,11000000,0
99,5/31/2023,AKI,Rupiah,1,23-May,596,13120,Deposit Others,14619000,0
99,5/31/2023,AKI,Rupiah,1,23-May,598,13140,Deposit Rent,212660850,0
99,5/31/2023,AKI,Rupiah,1,23-May,1077,18225,Convertible Notes Receivable,3792838765,0
99,5/31/2023,AKI,Rupiah,1,23-May,562,14011,ADVANCE : Advance - Operasional,258199651,0
99,5/31/2023,AKI,Rupiah,1,23-May,563,14022,ADVANCE : Advance - Employee,343887782,0
99,5/31/2023,AKI,Rupiah,1,23-May,566,14055,ADVANCE : Advance CC,7240500,0
99,5/31/2023,AKI,Rupiah,1,23-May,567,14066,ADVANCE : Advance CC - Pak Ivan,0,0
99,5/31/2023,AKI,Rupiah,1,23-May,568,14077,ADVANCE : Advance CC - Pak Benz,27,0
99,5/31/2023,AKI,Rupiah,1,23-May,569,14088,ADVANCE : Advance CC - Bu Rena,0,0
99,5/31/2023,AKI,Rupiah,1,23-May,570,14099,ADVANCE : Advance CC - Pak Bu Anne,0,0
99,5/31/2023,AKI,Rupiah,1,23-May,585,16311,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 23,210308966,0
99,5/31/2023,AKI,Rupiah,1,23-May,587,16333,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 21,1,0
99,5/31/2023,AKI,Rupiah,1,23-May,586,16322,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 25,609267,0
99,5/31/2023,AKI,Rupiah,1,23-May,591,16377,PREPAID EXPENSES : PREPAID EXPENSES TAXES : PPN MASUKAN,25657500,0
99,5/31/2023,AKI,Rupiah,1,23-May,769,16150,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Others,713095014,0
99,5/31/2023,AKI,Rupiah,1,23-May,766,16120,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Rent,220061728,0
99,5/31/2023,AKI,Rupiah,1,23-May,767,16130,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Parking,47758334,0
99,5/31/2023,AKI,Rupiah,1,23-May,768,16140,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Insurance,58948416,0
99,5/31/2023,AKI,Rupiah,1,23-May,769,16150,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Others,1213275568,0
99,5/31/2023,AKI,Rupiah,1,23-May,770,16160,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Interest - Leased,10425236,0
