tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,494,65022,DEPRECIATION EXPENSES : Depreciation Expense - Machinery and Office Equipment,8080005,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,496,65044,DEPRECIATION EXPENSES : Depreciation Expense - Furniture,1275255,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,497,65055,"DEPRECIATION EXPENSES : Depreciation Expenses - Comp, Printer & Notebook",74915930,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,499,65077,DEPRECIATION EXPENSES : Deprectiation Expenses - Right Of Used Asset,131686892,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,484,61933,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Gift and Sponsorship,18900000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,507,66055,Pencadangan Biaya Pengosongan Dan Pembongkaran Bangunan,22522525,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,503,66011,TAX EXPENSE,3897268,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,780,72111,OTHERS EXPENSES : Bank Charges,1943636,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,782,72120,OTHERS EXPENSES : Miscellaneous Expenses,0,812
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,789,72127,OTHERS EXPENSES : Loss Exchange Rate,1311440,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,53,3200,Opening Balance,12053222802,0
,,,,,,,,,,
,,,,,,,,,34489969239,
