Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline,Description,Debit,Credit,Credit New
Bank Deposit,10349,17/05/2022,created on 28/05/2022 11:17:20,1-10102,1115,Bank BCA IDR 2 - Operational,2-20402,1086,Other Current Liabilities - KKA,100000000,0,
Bank Deposit,10351,17/05/2022,created on 03/06/2022 09:22:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,87.01,0,
Bank Deposit,10368,17/05/2022,created on 07/06/2022 16:31:25,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,600000000,0,
Bank Deposit,10372,17/05/2022,created on 07/06/2022 17:40:41,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.32,0,
Bank Deposit,10353,18/05/2022,created on 03/06/2022 10:16:07,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,49.53,0,
Bank Deposit,10367,18/05/2022,created on 07/06/2022 16:30:44,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,300000000,0,
Bank Deposit,10373,18/05/2022,created on 07/06/2022 17:43:05,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.13,0,
Bank Deposit,10354,19/05/2022,created on 03/06/2022 10:20:43,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - KELEBIHAN TRF CUSTOMER NO. INV SNI20220518-596,19999.09,0,
Bank Deposit,10352,20/05/2022,created on 03/06/2022 09:34:47,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,236.95,0,
Bank Deposit,10360,23/05/2022,created on 03/06/2022 15:44:11,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,19.51,0,
Bank Deposit,10380,23/05/2022,created on 21/06/2022 13:40:36,1-10106,1148,   Bank OCBC Giro Smart,8-80099,626,Other Income. - Pemindahbukuan : SMART BENEFIT CASHBACK APR 2022,30000,0,
Bank Deposit,10366,24/05/2022,created on 07/06/2022 16:29:54,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,100000000,0,
