External ID,Date,Transaction Type,Transaction Number,Warehouse,Location ID,Display Name,Internal ID Vendor,Status By Today,Memo,Reference Number,Product Name,Discount Amount,Company Name,Discount %,Product Code,Internal ID Item,Description,Quantity,Unit,Unit Price,Discount Line %,Tax Rate,Tax Rate ID,Tax Amount,Taxable Amount per Line,Total per line,Gross Amount,Rate
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Lapis Gula Jawa 100g,0,,0,NJL-0021,3000,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Lapis Cocopandan 110g,0,,0,NJL-0022,3001,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Biscuit 155g,0,,0,SPD-0006,3058,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Chocolate 155g,0,,0,SPD-0005,3057,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Taro 155g,0,,0,SPD-0004,3056,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Gummy 155g,0,,0,SPD-0003,3055,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Avocado 155g,0,,0,SPD-0002,3054,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Peach 155g,0,,0,SPD-0001,3053,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**My Vla Chocolate 63g,0,,0,MVL-0002,2981,,5,Karton,254710,0.20,10,5,127100.29,1271002.9,1271002.9,1398103.19,254200.58
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**My Vla Vanilla 60g,0,,0,MVL-0001,2980,,20,Karton,254710,0.20,10,5,508401.16,5084011.6,5084011.6,5592412.76,254200.58
